@relation 'NSL-KDD-completo-weka.filters.unsupervised.attribute.Remove-V-R4-6,12,26,29-30,37,42'

@attribute flag {SF,S0,REJ,RSTR,SH,RSTO,S1,RSTOS0,S3,S2,OTH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute logged_in numeric
@attribute srv_serror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute classe {normal,ataque}

@data
S0,0,0,0,1,0.07,0.06,0,ataque
S0,0,0,0,1,0.03,0.06,0,ataque
SF,687,339,1,0,1,0,0.01,normal
SF,259,398,1,0,1,0,0,normal
SF,45,136,0,0,1,0,0,normal
S0,0,0,0,1,0,0.07,0,ataque
SF,261,29122,1,0,1,0,0,normal
S0,0,0,0,1,0.11,0.06,0,ataque
SF,232,260,1,0,1,0,0,normal
SF,1,0,0,0,1,0,0,ataque
S0,0,0,0,1,0.23,0.23,0,ataque
SF,302,2348,1,0,1,0,0.04,normal
SF,28,0,0,0,1,0,0,ataque
S0,0,0,0,1,0.01,0.06,0,ataque
SF,348,1170,1,0,1,0,0.01,normal
SF,61298,0,1,0,1,0,0.04,normal
S0,0,0,0,1,0.19,0.05,0,ataque
SF,46,46,0,0,1,0,0,normal
SF,1234,342,1,0,1,0,0.01,normal
SF,43,71,0,0,1,0,0,normal
S0,0,0,0,1,0.02,0.1,0,ataque
REJ,0,0,0,0,0.06,0.07,0,ataque
S0,0,0,0,1,0.13,0.07,0,ataque
S0,0,0,0,1,0.02,0.06,0,ataque
SF,337,1535,1,0,1,0,0.04,normal
RSTR,0,0,0,0,0.05,0.55,0,ataque
SF,297,1380,1,0,1,0,0,normal
SF,2191,0,1,0,1,0,0,normal
SF,46,127,0,0,1,0,0,normal
S0,0,0,0,1,0.02,0.06,0,ataque
SF,30,0,0,0,1,0,0.45,normal
S0,0,0,0,1,0.02,0.07,0,ataque
RSTR,0,0,0,0,1,0,0,ataque
SF,34,0,0,0,1,0,0,normal
SF,8,0,0,0,1,0,0.5,ataque
SF,8,0,0,0,1,0,0.5,ataque
SF,1,74,0,0,0.46,0.12,0,ataque
RSTR,0,0,0,0,1,0,0,ataque
SF,258,278,1,0,1,0,0,normal
S0,0,0,0,1,0.05,0.06,0,ataque
S0,0,0,0,1,0.04,0.05,0,ataque
SF,269,9317,1,0,1,0,0.05,normal
SF,219,557,1,0,1,0,0.06,normal
REJ,0,0,0,0,0.03,0.06,0,ataque
SF,225,1364,1,0,1,0,0.01,normal
S0,0,0,0,1,0.04,0.08,0,ataque
SF,18,0,0,0,1,0,0.25,ataque
REJ,0,0,0,0,0.13,0.08,0,ataque
SF,148,10344,1,0,1,0,0.01,normal
REJ,0,0,0,0,1,0,0.01,normal
SF,328,1579,1,0,1,0,0,normal
SF,44,44,0,0,1,0,0,normal
RSTR,0,0,0,0,1,0,0,ataque
SF,215,817,1,0.2,1,0,0.01,normal
S0,0,0,0,1,0.06,0.07,0,ataque
REJ,0,0,0,0,1,0,0.31,normal
S0,0,0,0,1,0.02,0.07,0,ataque
SF,1470,0,1,0,1,0,0.05,normal
S0,0,0,0,1,0.01,0.06,0,ataque
SF,30,0,0,0,1,0,0,normal
SF,262,11785,1,0,1,0,0.03,normal
SF,298,290,1,0,1,0,0,normal
SF,235,917,1,0,1,0,0.02,normal
SF,402,5324,1,0,1,0,0,normal
REJ,0,0,0,0,0.17,0.09,0,ataque
S0,0,0,0,1,0.12,0.06,0,ataque
SF,278,1747,1,0.67,1,0,0.01,normal
S0,0,0,0,1,0.24,0.2,0,ataque
S1,251,1070,1,1,1,0,0,normal
REJ,0,0,0,0,0.14,0.06,0,ataque
SF,18,0,0,0,1,0,0.25,ataque
S0,0,0,0,1,0.01,0.08,0,ataque
SF,30,0,0,0,1,0,0,normal
S0,0,0,0,1,0.33,0.27,0,ataque
SF,45,70,0,0,1,0,0,normal
SF,327,1041,1,0,1,0,0,normal
SF,6,0,1,0,0,1,0,ataque
S0,0,0,0,1,0.04,0.06,0,ataque
SF,10,288,0,0,1,0,0.17,normal
SF,9,37,1,0,1,0,0,normal
REJ,0,0,0,0,1,0,0.17,normal
S0,0,0,0,1,0.08,0.06,0,ataque
SF,105,145,0,0,1,0,0,normal
SF,8,0,0,0,1,0,0.26,ataque
SF,275,546,1,0,1,0,0.05,normal
SF,42,42,0,0,1,0,0,normal
SF,330,717,1,0,1,0,0.01,normal
RSTR,1,0,0,0,1,0,0,ataque
SF,8,0,0,0,1,0,0,ataque
S0,0,0,0,1,0.07,0.07,0,ataque
SF,1032,0,0,0,1,0,0,ataque
SF,45,45,0,0,1,0,0,normal
SF,54540,8314,1,0,1,0,0,ataque
SF,357,1695,1,0,1,0,0,normal
SF,1020,2201,1,0,1,0,0,ataque
S0,0,0,0,1,0.05,0.08,0,ataque
S0,0,0,0,1,0.14,0.07,0,ataque
SF,641,0,1,0,1,0,0,normal
REJ,0,0,0,0,0.06,0.07,0,ataque
SF,383,0,1,0,1,0,0,normal
SF,6601,0,0,0,1,0,0,normal
REJ,0,0,0,0,0.03,1,0,ataque
SF,30,90,0,0,1,0,0,normal
SF,28,0,0,0,0.19,0.06,0,ataque
S0,0,0,0,1,0.01,0.06,0,ataque
SF,318,821,1,0,1,0,0.03,normal
SF,36,130,1,0,1,0,0,normal
S0,0,0,0,1,0.1,0.06,0,ataque
SF,217,3669,1,0,1,0,0.1,normal
SF,109,45,0,0,1,0,0,normal
S0,0,0,0,1,0.06,0.05,0,ataque
SF,33,33,0,0,1,0,0,normal
S0,0,0,0,1,0.13,0.06,0,ataque
SF,45,76,0,0,1,0,0,normal
SF,145,32395,1,0,1,0,0,normal
SF,241,777,1,0,0.5,1,0,normal
RSTR,1,0,0,0,1,0,0,ataque
SF,312,7764,1,0,1,0,0.05,normal
S0,0,0,0,1,0.02,0.05,0,ataque
S0,0,0,0,0.5,1,0,0.01,normal
SF,659,336,1,0,1,0,0.02,normal
S0,0,0,0,1,0.44,0.33,0,ataque
SF,328,12884,1,0,1,0,0,normal
SF,255,1712,1,0,1,0,0.02,normal
SF,28,0,0,0,1,0,0,ataque
SF,188,265,1,0,1,0,0.01,normal
S0,0,0,0,1,0.11,0.05,0,ataque
SF,1489,4152,1,0,0.5,1,0,normal
SF,30,0,0,0,1,0,0,normal
S0,0,0,0,1,0.01,0.05,0,ataque
S0,0,0,0,1,0.02,0.06,0,ataque
SF,334,0,1,0,1,0,0.2,ataque
SF,334,0,1,0,1,0,0.25,ataque
SF,334,0,1,0,1,0,0.14,ataque
S0,0,0,0,1,0.05,0.06,0,ataque
SF,211,2131,1,0,1,0,0.05,normal
SF,1032,0,0,0,1,0,0,ataque
SF,491,0,0,0,1,0,0,normal
S0,0,0,0,1,0.08,0.06,0,ataque
SF,8,0,0,0,1,0,0.26,ataque
REJ,0,0,0,0,1,0,0.1,normal
S0,0,0,0,1,0.01,0.06,0,ataque
SF,147,105,0,0,1,0,0,normal
REJ,0,0,0,0,1,0,0.09,normal
SF,44,44,0,0,0.99,0.01,0,normal
SF,147,105,0,0,0.5,0.5,0,normal
SF,2194619,0,0,0,1,0,0,normal
S0,0,0,0,1,0.06,0.05,0,ataque
SF,8,0,0,0,1,0,0.51,ataque
SF,44,130,0,0,1,0,0,normal
SF,242,5658,1,0,1,0,0.05,normal
REJ,0,0,0,0,1,0,0.11,normal
SF,201,458,1,0,1,0,0.03,normal
SF,59,0,1,0,1,0,0.03,normal
RSTR,0,0,0,0,1,0,0,ataque
S0,0,0,0,1,0.2,0.06,0,ataque
SF,221,599,1,0,1,0,0,normal
SF,146,105,0,0,0.67,0.67,0,normal
S0,0,0,0,1,0.05,0.06,0,ataque
REJ,0,0,0,0,1,0,0.12,normal
REJ,0,0,0,0,0.01,0.09,0,ataque
SF,193,412,1,0,1,0,0,normal
REJ,0,0,0,0,0.06,0.05,0,ataque
S0,0,0,0,1,0.04,0.06,0,ataque
SF,8,0,0,0,1,0,0.5,ataque
SF,1479,331,1,0,1,0,0.01,normal
SF,45,135,0,0,1,0,0,normal
S1,377,14319,1,0.09,1,0,0.02,normal
S0,0,0,0,1,0.05,0.07,0,ataque
SF,18,0,0,0,1,0,0.25,ataque
REJ,0,0,0,0,0.06,0.06,0,ataque
REJ,0,0,0,0,1,0,0.16,normal
S0,0,0,0,1,0.15,0.06,0,ataque
SF,44,130,0,0,1,0,0,normal
SF,236,296,1,0,1,0,0,normal
S0,0,0,0,1,0.08,0.05,0,ataque
SF,28,0,0,0,1,0,0,ataque
SF,336,1454,1,0,1,0,0.07,normal
S0,0,0,0,1,0.19,0.04,0,ataque
SF,355,2142,1,0,1,0,0.01,normal
S0,0,0,0,1,0.1,0.06,0,ataque
S0,0,0,0,1,0.03,0.08,0,ataque
SF,213,12863,1,0,1,0,0.05,normal
S0,0,0,0,1,0.19,0.16,0,ataque
SF,331,6162,1,0,1,0,0.02,normal
S0,0,0,0,1,0.01,0.06,0,ataque
SF,317,1927,1,0,1,0,0.03,normal
SF,44,73,0,0,1,0,0,normal
S0,0,0,0,1,0.07,0.06,0,ataque
S0,0,0,0,1,0.08,0.05,0,ataque
SF,854,0,1,0,1,0,0.04,normal
SF,748,0,0,0,1,0,0.05,normal
SF,1759,334,1,0,1,0,0.01,normal
S0,0,0,0,1,0.03,0.06,0,ataque
SF,1794,279,1,0,1,0,0.02,normal
S0,0,0,0,1,0.09,0.18,0,ataque
S0,0,0,0,1,0.16,0.11,0,ataque
REJ,0,0,0,0,0.08,0.07,0,ataque
SF,1032,0,0,0,1,0,0,ataque
SF,178,3118,1,0,1,0,0,normal
SF,147,105,0,0,1,0,0,normal
SF,1032,0,0,0,1,0,0,ataque
SF,266,5230,1,0,1,0,0,normal
S0,0,0,0,1,0.07,0.06,0,ataque
SF,334,634,1,0,1,0,0.02,normal
SF,1235,2449,1,0,1,0,0,ataque
SF,335,1063,1,0,1,0,0,normal
S0,0,0,0,1,0.07,0.06,0,ataque
S0,0,0,0,1,0.01,0.06,0,ataque
S0,0,0,0,1,0.06,0.06,0,ataque
SF,199,1533,1,0,1,0,0.01,normal
SF,200,308,1,0,1,0,0,normal
SF,246,1667,1,0,1,0,0,normal
SF,180,1977,1,0,1,0,0,normal
S0,0,0,0,1,0.08,0.05,0,ataque
SF,45,45,0,0,1,0,0,normal
S0,0,0,0,1,0.05,0.06,0,ataque
SF,227,314,1,0,1,0,0.02,normal
SF,44,44,0,0,1,0,0,normal
REJ,0,0,0,0,1,0,0.2,normal
SF,46,46,0,0,1,0,0,normal
SF,43,76,0,0,1,0,0,normal
REJ,0,0,0,0,0.04,0.07,0,ataque
SF,29,29,0,0,1,0,0,normal
S0,0,0,0,1,0.01,0.07,0,ataque
S0,0,0,0,1,0.04,0.07,0,ataque
S0,0,0,0,1,0.05,0.06,0,ataque
RSTO,0,0,0,0,0.03,0.06,0,ataque
SF,185,13635,1,0,1,0,0.02,normal
SF,259,1001,1,0,1,0,0,normal
S0,0,0,0,1,0.04,0.07,0,ataque
S0,0,0,0,1,0.05,0.06,0,ataque
S0,0,0,0,1,0.1,0.06,0,ataque
S0,0,0,0,1,0.08,0.06,0,ataque
S0,0,0,0,1,0.01,0.06,0,ataque
SF,46,139,0,0,0.99,0.03,0,normal
RSTR,1,0,0,0,1,0,0,ataque
REJ,0,0,0,0,0.07,0.06,0,ataque
S0,0,0,0,1,0.5,0.11,0,ataque
SF,1009,327,1,0,1,0,0.01,normal
S0,0,0,0,1,0.03,0.07,0,ataque
SF,42,42,0,0,1,0,0,normal
SH,0,0,0,1,1,0,0,ataque
SF,259,0,0,0,1,0,0,normal
SF,726,339,1,0,1,0,0.01,normal
SF,243,1058,1,0,1,0,0.02,normal
SF,308,1380,1,0,1,0,0,normal
SF,246,346,1,0,1,0,0.02,normal
SF,208,2241,1,0,1,0,0.05,normal
SF,246,2195,1,0,1,0,0,normal
SF,78,0,0,0,0.15,0.04,0,normal
S0,0,0,0,1,0.81,0.07,0,ataque
SF,210,1733,1,0,1,0,0.04,normal
SF,230,2196,1,0.03,1,0,0.02,normal
S0,0,0,0,1,0.38,0.12,0,ataque
S0,0,0,0,1,0.38,0.25,0,ataque
REJ,0,0,0,0,0.02,0.06,0,ataque
SF,1041,326,1,0,1,0,0,normal
SF,22,0,0,0,1,0,0.03,normal
SF,0,4,0,0,1,0,0,normal
S0,0,0,0,1,0.08,0.06,0,ataque
REJ,0,0,0,0,1,0,0.19,normal
SF,28,0,0,0,0.96,0.07,0,ataque
SF,239,128,1,0,1,0,0.03,normal
SF,311,1628,1,0,1,0,0.04,normal
S0,0,0,0,1,0.25,0.05,0,ataque
SF,205,1108,1,0.25,1,0,0,normal
S0,0,0,0,1,0.02,0.06,0,ataque
S0,0,0,0,1,0.09,0.05,0,ataque
S0,0,0,0,1,0.03,0.06,0,ataque
S0,0,0,0,1,0.01,0.06,0,ataque
S0,0,0,0,1,0.01,0.06,0,ataque
SF,323,2999,1,0,1,0,0.03,normal
S0,0,0,0,1,0.06,0.06,0,ataque
REJ,0,0,0,0,0.5,1,0,ataque
SF,1158,325,1,0,1,0,0.01,normal
S0,0,0,0,1,0.09,0.06,0,ataque
S0,0,0,0,1,0.1,0.06,0,ataque
RSTO,0,0,0,0,0.02,0.07,0,ataque
SF,294,1600,1,0,1,0,0.01,normal
SF,1086,334,1,0,1,0,0,normal
SF,10044,0,1,0,1,0,0.01,normal
SF,215,1469,1,0,1,0,0.05,normal
SF,232,1075,1,0,1,0,0,normal
SF,1,0,0,0,0.35,0.13,0,ataque
SF,305,3222,1,0,1,0,0,normal
SF,44,71,0,0,1,0,0,normal
SF,206,1680,1,0,1,0,0,normal
SF,44,115,0,0,1,0,0,normal
RSTOS0,0,0,0,0.67,0.03,0.37,0,ataque
S0,0,0,0,1,0.08,0.07,0,ataque
SF,331,868,1,0,1,0,0,normal
SF,233,19796,1,0,1,0,0.02,normal
SF,641,0,1,0,1,0,0,normal
SF,46,112,0,0,1,0,0.01,normal
SF,359,779,1,0,1,0,0.02,normal
S0,0,0,0,1,0.07,0.06,0,ataque
SF,45,75,0,0,1,0,0,normal
SF,2194619,0,1,0,1,0,0.05,normal
REJ,0,0,0,0,1,0,0.04,normal
SF,323,5340,1,0,1,0,0.03,normal
SF,258,8705,1,0,1,0,0.05,normal
SF,46,46,0,0,1,0,0,normal
S0,0,0,0,1,0.06,0.06,0,ataque
RSTR,0,0,0,0,1,0,0,ataque
SF,298,1108,1,0,1,0,0.04,normal
S0,0,0,0,1,0.01,0.06,0,ataque
SF,105,0,0,0,1,0,0,normal
RSTO,0,0,0,0,0.06,0.07,0,ataque
S0,0,0,0,1,0.04,0.05,0,ataque
SF,48,473,1,0,0.02,0.04,0,normal
S0,0,0,0,1,0.05,0.07,0,ataque
SF,1032,0,0,0,1,0,0,ataque
SF,279,1026,1,0,1,0,0,normal
SF,324,456,1,0,1,0,0.02,normal
S0,0,0,0,1,0.03,0.07,0,ataque
SF,224,2109,1,0,1,0,0,normal
S0,0,0,0,1,0.08,0.06,0,ataque
SF,2867,330,1,0,1,0,0.02,normal
SF,241,256,1,0,1,0,0.03,normal
S0,0,0,0,1,0.04,0.06,0,ataque
SF,209,873,1,0,1,0,0,normal
REJ,0,0,0,0,0.06,0.06,0,ataque
SF,7940,0,1,0,0.11,0.22,0,normal
SF,660,331,1,0,1,0,0,normal
S0,0,0,0,1,0.05,0.06,0,ataque
SF,268,2238,1,0,1,0,0,normal
SF,154,19175,1,0,1,0,0.05,normal
SF,43,43,0,0,1,0,0,normal
SF,313,29165,1,0,1,0,0.05,normal
S0,0,0,0,1,0.1,0.05,0,ataque
SF,852,0,1,0,1,0,0,normal
SF,45,123,0,0,1,0,0,normal
S0,0,0,0,1,0.01,0.08,0,ataque
S0,0,0,0,1,0.14,0.05,0,ataque
SF,1032,0,0,0,1,0,0,ataque
SF,1633,483,1,0,1,0,0.02,normal
SF,516,4,0,0,1,0,0,normal
SF,145,105,0,0,1,0,0,normal
SF,222,10496,1,0,1,0,0.03,normal
S0,0,0,0,1,0.09,0.06,0,ataque
SF,328,2793,1,0,1,0,0.02,normal
S0,0,0,0,1,0.06,0.07,0,ataque
REJ,0,0,0,0,1,0,0.18,normal
SF,334,279,1,0,1,0,0,normal
SF,310,1686,1,0.25,1,0,0.03,normal
SF,8,0,0,0,1,0,0.26,ataque
SF,317,756,1,0,1,0,0.02,normal
REJ,0,0,0,0,0.03,0.07,0,ataque
SF,1032,0,0,0,1,0,0,ataque
SF,8,0,0,0,1,0,0.25,ataque
SF,163,19076,1,0,1,0,0,normal
S0,0,0,0,1,0.12,0.07,0,ataque
S0,0,0,0,1,0.08,0.06,0,ataque
SF,206,2398,1,0,1,0,0.03,normal
SF,276,2543,1,0,1,0,0,normal
S0,0,0,0,1,0.07,0.07,0,ataque
SF,1372,401,1,0,1,0,0,normal
REJ,0,0,0,0,0.14,0.06,0,ataque
SF,146,105,0,0,1,0,0,normal
SF,35,130,1,0,0.5,1,0,normal
SF,105,146,0,0,0.14,0.29,0,normal
SF,43,145,0,0,1,0,0,normal
S0,0,0,0,1,0.19,0.22,0,ataque
S0,0,0,0,1,0.08,0.05,0,ataque
SF,218,396,1,0,1,0,0,normal
SF,947,330,1,0,1,0,0.01,normal
S0,0,0,0,1,0.05,0.06,0,ataque
RSTO,6,28,1,0,0.02,1,0,ataque
SF,44,131,0,0,0.99,0.01,0,normal
SF,334,0,1,0,1,0,0.15,ataque
S0,0,0,0,1,1,0,0,ataque
RSTO,0,0,0,0,0.14,0.05,0,ataque
S0,0,0,0,1,0.09,0.06,0,ataque
S0,0,0,0,1,0.08,0.06,0,ataque
REJ,0,0,0,0,0,1,0,ataque
SF,1,0,0,0,1,0,0,ataque
SF,9784,325,1,0,1,0,0.01,normal
RSTR,1,0,0,0,1,0,0,ataque
SF,318,525,1,0,1,0,0.01,normal
SF,2194619,0,1,0,0.67,0.67,0.02,normal
SF,18,0,0,0,1,0,1,ataque
REJ,0,0,0,0,0,1,0,ataque
SF,301,480,1,0,1,0,0.01,normal
SF,1,0,0,0,0.3,0.1,0,ataque
SF,197,27919,1,0,1,0,0.02,normal
SF,147,105,0,0,0.33,0.5,0,normal
SF,263,8020,1,0,1,0,0.01,normal
S0,0,0,0,1,0.12,0.06,0,ataque
S0,0,0,0,1,0.17,0.05,0,ataque
SF,204,377,1,0,1,0,0.06,normal
SF,300,1195,1,0,1,0,0.03,normal
SF,44,125,0,0,1,0,0,normal
S0,0,0,0,1,0.15,0.05,0,ataque
SF,2201,280,1,0,1,0,0.02,normal
SF,133,0,0,0,0.5,1,0,normal
S0,0,0,0,1,0.1,0.05,0,ataque
REJ,0,0,0,0,0,1,0,ataque
SF,309,10929,1,0,1,0,0.03,normal
S0,0,0,0,1,0.06,0.06,0,ataque
SF,147,105,0,0,1,0,0,normal
S0,0,0,0,1,0.13,0.05,0,ataque
S0,0,0,0,1,0.05,0.05,0,ataque
SF,230,10113,1,0,1,0,0,normal
SF,44,44,0,0,1,0,0,normal
SF,241,1429,1,0,1,0,0,normal
SF,2095,333,1,0,1,0,0,normal
SF,46,86,0,0,1,0.01,0,normal
SF,1787,327,1,0,1,0,0.01,normal
RSTR,1,0,0,0,1,0,0,ataque
RSTO,737,112155,1,0,1,0,0,normal
SF,304,1762,1,0,1,0,0.04,normal
S0,0,0,0,1,0.02,0.06,0,ataque
REJ,0,0,0,0,0.1,0.07,0,ataque
S0,0,0,0,1,0.06,0.06,0,ataque
SF,1470,0,0,0,1,0,0,normal
S0,0,0,0,1,0.07,0.06,0,ataque
SF,491,0,0,0,1,0,0.08,normal
SF,245,0,1,0,1,0,0.1,normal
SF,43,132,0,0,1,0,0,normal
SF,308,1018,1,0,1,0,0.01,normal
S0,0,0,0,1,0.08,0.06,0,ataque
REJ,0,0,0,0,0.5,1,0,ataque
SF,36,0,0,0,1,0,0.01,normal
SF,42,74,0,0,1,0,0,normal
S0,0,0,0,1,0.02,0.07,0,ataque
SF,3617,282,1,0,1,0,0.01,normal
SF,105,146,0,0,0.14,0.29,0,normal
SF,187,887,1,0,1,0,0.04,normal
SF,4892,0,1,0,1,0,0,normal
RSTR,1,0,0,0,1,0,0,ataque
SF,10389,0,1,0,1,0,0.02,normal
SF,11214,1551,1,0,1,0,0.01,normal
SF,198,810,1,0,1,0,0,normal
S0,0,0,0,1,0.02,0.06,0,ataque
S0,0,0,0,1,0.06,0.06,0,ataque
SF,13239,0,1,0,1,0,0.04,normal
SF,234,1075,1,0,1,0,0,normal
S0,0,0,0,1,0.12,0.05,0,ataque
SF,520,0,0,0,1,0,0,ataque
SF,100,0,0,0,1,0,0,ataque
S0,0,0,0,1,0.02,0.07,0,ataque
S0,0,0,0,1,0.29,0.06,0,ataque
SF,201,43347,1,0,1,0,0,normal
S0,0,0,0,1,0.17,0.08,0,ataque
SF,147,0,0,0,0.2,0.6,0,normal
SF,301,511,1,0,1,0,0,normal
SF,214,660,1,0,1,0,0.01,normal
SF,8,0,0,0,1,0,0.25,normal
SF,263,1053,1,0,1,0,0,normal
RSTOS0,0,0,0,0.5,0.2,0.5,0,ataque
S0,0,0,0,1,0.03,0.06,0,ataque
SF,819,334,1,0,1,0,0.03,normal
S0,0,0,0,1,0.03,0.06,0,ataque
SF,1119,329,1,0,1,0,0.01,normal
SF,220,2486,1,0,1,0,0,normal
S0,0,0,0,1,0.02,0.06,0,ataque
SF,1480,0,0,0,1,0,0.04,ataque
REJ,0,0,0,0,0.03,0.06,0,ataque
REJ,0,0,0,0,0.03,0.07,0,ataque
SF,1302,334,1,0,1,0,0,normal
SF,28,0,0,0,1,0,0,ataque
SF,1032,0,0,0,1,0,0,ataque
S0,0,0,0,1,0.05,0.06,0,ataque
S0,0,0,0,1,0.06,0.06,0,ataque
SF,1,0,0,0,0.36,0.1,0,ataque
S0,0,0,0,1,0.22,0.06,0,ataque
SF,303,3629,1,0,1,0,0,normal
SF,373,345,1,0,1,0,0,normal
SF,68,0,0,0,1,0,0,normal
SF,1981,333,1,0,1,0,0.02,normal
SF,74,0,0,0,1,0,0,normal
S0,0,0,0,1,0.13,0.06,0,ataque
S0,0,0,0,1,0.07,0.06,0,ataque
S0,0,0,0,1,0.12,0.06,0,ataque
REJ,0,0,0,0,1,0,1,ataque
RSTR,1,0,0,0,1,0,0,ataque
SF,8,0,0,0,1,0,0.5,ataque
SF,44,44,0,0,1,0,0,normal
SF,339,284,1,0,1,0,0,normal
S0,0,0,0,1,0.13,0.06,0,ataque
S0,0,0,0,1,0.04,0.06,0,ataque
S0,0,0,0,1,0.03,0.07,0,ataque
SF,325,5583,1,0,1,0,0.03,normal
SF,46,77,0,0,1,0,0,normal
SF,207,700,1,0.17,1,0,0.01,normal
SF,314,396,1,0,1,0,0,normal
S0,0,0,0,1,0.07,0.08,0,ataque
S0,0,0,0,1,0.25,0.12,0,ataque
SF,336,11283,1,0,1,0,0,normal
SF,230,296,1,0,1,0,0,normal
S0,0,0,0,1,0.04,0.06,0,ataque
S0,0,0,0,1,0.23,0.08,0.2,ataque
SF,229,1003,1,0,1,0,0.02,normal
SF,8,138,0,0,1,0,0,normal
SF,147,0,0,0,0.33,0.67,0,normal
S0,0,0,0,1,0.03,0.05,0,ataque
REJ,0,0,0,0,0.03,0.06,0,ataque
SF,229,182,1,0,1,0,0,normal
S0,0,0,0,1,0.01,0.06,0,ataque
S0,0,0,0,1,0.13,0.06,0,ataque
SF,71,0,0,0,0.5,1,0,normal
SF,213,2019,1,0,1,0,0,normal
SF,322,1564,1,0,1,0,0,normal
REJ,0,0,0,0,1,0,0.07,normal
SF,145,105,0,0,1,0,0,normal
S1,289,2920,1,0.33,1,0,0.05,normal
S0,0,0,0,1,0.07,0.05,0,ataque
SF,227,2809,1,0,1,0,0.01,normal
SF,1103,336,1,0,1,0,0.02,normal
SF,319,525,1,0,1,0,0.02,normal
SF,45,82,0,0,0.99,0.01,0,normal
S0,0,0,0,1,0.02,0.06,0,ataque
SF,59,0,0,0,0.08,0.33,0,normal
SF,209,315,1,0,1,0,0,normal
SF,8,313,0,0,1,0,0.1,normal
SF,8,0,0,0,1,0,0.5,ataque
SF,1415,364,1,0,1,0,0.01,normal
REJ,0,0,0,0,0.06,0.06,0,ataque
SF,333,1832,1,0,1,0,0.02,normal
SF,35,91,0,0,1,0,0,normal
SF,246,757,1,0,1,0,0,normal
SF,28,0,0,0,1,0,0,ataque
REJ,0,0,0,0,0.03,0.06,0,ataque
SF,283,324,1,0,1,0,0.04,normal
SF,569,333,1,0,1,0,0.01,normal
SF,2117,328,1,0,1,0,0,normal
SF,30,0,0,0,1,0,0,normal
S0,0,0,0,1,0.06,0.05,0,ataque
SF,8,0,0,0,1,0,0.26,ataque
SF,332,2344,1,0,1,0,0.03,normal
SF,219,3100,1,0,1,0,0.09,normal
SF,1,0,0,0,0.08,0.24,0,ataque
S0,0,0,0,1,0.18,0.06,0,ataque
S0,0,0,0,1,0.03,0.05,0,ataque
SF,295,1215,1,0.17,1,0,0,normal
S0,0,0,0,1,0.03,0.07,0,ataque
S0,0,0,0,1,0.01,0.06,0,ataque
REJ,0,0,0,0,0.14,0.06,0,ataque
RSTR,0,0,0,0,1,0,0,ataque
S0,0,0,0,1,0.02,0.06,0,ataque
S0,0,0,0,1,0.12,0.05,0,ataque
SF,326,14483,1,0,1,0,0.02,normal
S0,0,0,0,1,0.15,0.05,0,ataque
REJ,0,0,0,0,0.5,1,0,ataque
S0,0,0,0,1,0.18,0.04,0,ataque
S0,0,0,0,1,0.03,0.08,0,ataque
SF,271,823,1,0,1,0,0,normal
S0,0,0,0,1,0.22,0.1,0,ataque
S0,0,0,0,1,0.13,0.07,0,ataque
SF,1299,389,1,0,0,0.06,0,normal
S0,0,0,0,1,0.04,0.13,0,ataque
RSTO,0,0,0,0,0.04,0.06,0,ataque
S0,0,0,0,1,0.06,0.06,0,ataque
REJ,0,0,0,0,0.07,0.06,0,ataque
SF,33,33,0,0,1,0,0,normal
SF,45,71,0,0,1,0,0,normal
S0,0,0,0,1,0.14,0.06,0,ataque
SF,202,128,1,0,1,0,0.04,normal
SF,270,7321,1,0,1,0,0.02,normal
SF,45,114,0,0,1,0,0,normal
RSTR,1,0,0,0,1,0,0,ataque
S0,0,0,0,1,1,0,0.01,ataque
SF,516,4,0,0,1,0,0,normal
S0,0,0,0,1,0.05,0.05,0,ataque
S0,0,0,0,1,0.1,0.06,0,ataque
SF,243,1226,1,0,1,0,0.02,normal
S0,0,0,0,1,0.01,0.07,0,ataque
S0,0,0,0,1,0.05,0.06,0,ataque
SF,329,6148,1,0,1,0,0.05,normal
S0,0,0,0,1,0.02,0.07,0,ataque
S0,0,0,0,1,0.1,0.06,0,ataque
S0,0,0,0,1,0.16,0.13,0,ataque
SF,199,8564,1,0,1,0,0.07,normal
SF,202,1296,1,0,1,0,0.04,normal
RSTR,1,0,0,0,1,0,0,ataque
SF,200,337,1,0,1,0,0,normal
SF,275,2295,1,0,1,0,0,normal
S0,0,0,0,1,0.09,0.05,0,ataque
S0,0,0,0,1,0.06,0.05,0,ataque
SF,202,1032,1,0,1,0,0.04,normal
SF,1346,329,1,0,1,0,0.01,normal
SF,289,525,1,0,1,0,0.07,normal
SF,46,46,0,0,0.33,0.67,0,normal
S0,0,0,0,1,0.04,0.06,0,ataque
SF,216,10622,1,0,1,0,0.05,normal
REJ,0,0,0,0,0.5,1,0,ataque
S0,0,0,0,1,0.01,0.07,0,ataque
SF,13772,0,0,0,1,0,0,normal
SF,235,1211,1,0,1,0,0,normal
S0,0,0,0,1,0.01,0.06,0,ataque
SF,253,468,1,0,1,0,0.02,normal
SF,289,6672,1,0,1,0,0.05,normal
S0,0,0,0,1,0.15,0.06,0,ataque
SF,225,829,1,0,1,0,0.03,normal
